ts,type,ch,tx_rx,data,fcs,port,sim
0.257025,ETH,1,Rx,46:333300000002A81374BD389D86DD6000000000103AFFFE800000000000004C705F11449FCF51FF0200000000000000000000000000028500674D000000000101A81374BD389D,FCS:734d6816,Ports:Port6,Sim:0
0.272157,ETH,1,Rx,9d:333300010002A81374BD389D86DD60054E1700671101FE800000000000004C705F11449FCF51FF0200000000000000000000000100020222022300672D4501D30E160008000202BF0001000E000100012A621DD5A81374BD389D0003000C0DA81374000000000000000000270011000F4445534B544F502D4B524E4E5330370010000E0000013700084D53465420352E30000600080011001700180027,FCS:40a51d09,Ports:Port6,Sim:0
0.468434,ETH,1,Rx,52:FFFFFFFFFFFF0200000010010800450000445756000040116654A9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:7d8d192,Ports:Port5,Sim:0
1.065976,ETH,1,Rx,158:FFFFFFFFFFFFA81374BD389D08004500014A4F3200008011EA7100000000FFFFFFFF00440043013689C2010106004A690E8B0300000000000000000000000000000000000000A81374BD389D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701A81374BD389D32040AE39F280C0F4445534B544F502D4B524E4E5330373C084D53465420352E30370E0103060F1F212B2C2E2F7779F9FCFF,FCS:35b681a9,Ports:Port6,Sim:0
1.468449,ETH,1,Rx,52:FFFFFFFFFFFF020000001001080045000044575D00004011664DA9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:92255390,Ports:Port5,Sim:0
2.468464,ETH,1,Rx,52:FFFFFFFFFFFF020000001001080045000044576000004011664AA9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:e5d4356b,Ports:Port5,Sim:0
3.468479,ETH,1,Rx,52:FFFFFFFFFFFF0200000010010800450000445763000040116647A9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:ab5682db,Ports:Port5,Sim:0
4.468494,ETH,1,Rx,52:FFFFFFFFFFFF0200000010010800450000445766000040116644A9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:4ba6339a,Ports:Port5,Sim:0
5.46851,ETH,1,Rx,52:FFFFFFFFFFFF0200000010010800450000445769000040116641A9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:b1c6e618,Ports:Port5,Sim:0
6.468525,ETH,1,Rx,52:FFFFFFFFFFFF0200000010010800450000445772000040116638A9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:10e31c5a,Ports:Port5,Sim:0
7.46854,ETH,1,Rx,52:FFFFFFFFFFFF0200000010010800450000445775000040116635A9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:c7dd06db,Ports:Port5,Sim:0
8.280439,ETH,1,Rx,9d:333300010002A81374BD389D86DD60054E1700671101FE800000000000004C705F11449FCF51FF0200000000000000000000000100020222022300672A2401D30E160008000205E00001000E000100012A621DD5A81374BD389D0003000C0DA81374000000000000000000270011000F4445534B544F502D4B524E4E5330370010000E0000013700084D53465420352E30000600080011001700180027,FCS:177d3913,Ports:Port6,Sim:0
8.468555,ETH,1,Rx,52:FFFFFFFFFFFF0200000010010800450000445778000040116632A9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:ad8ea229,Ports:Port5,Sim:0
9.468571,ETH,1,Rx,52:FFFFFFFFFFFF020000001001080045000044577B00004011662FA9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:b2d03598,Ports:Port5,Sim:0
10.050366,ETH,1,Rx,158:FFFFFFFFFFFFA81374BD389D08004500014A4F3300008011EA7000000000FFFFFFFF00440043013680C2010106004A690E8B0C00000000000000000000000000000000000000A81374BD389D00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701A81374BD389D32040AE39F280C0F4445534B544F502D4B524E4E5330373C084D53465420352E30370E0103060F1F212B2C2E2F7779F9FCFF,FCS:3900f530,Ports:Port6,Sim:0
10.468586,ETH,1,Rx,52:FFFFFFFFFFFF020000001001080045000044577E00004011662CA9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:522084d9,Ports:Port5,Sim:0
11.468601,ETH,1,Rx,52:FFFFFFFFFFFF0200000010010800450000445783000040116627A9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:f4a730b6,Ports:Port5,Sim:0
12.468616,ETH,1,Rx,52:FFFFFFFFFFFF0200000010010800450000445786000040116624A9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:145781f7,Ports:Port5,Sim:0
12.899911,ETH,1,Rx,3c:FFFFFFFFFFFFA81374BD389D08060001080006040001A81374BD389DA9FE6EB6000000000000A9FE1301000000000000000000000000000000000000,FCS:60586977,Ports:Port6,Sim:0
12.900032,ETH,1,Rx,3c:A81374BD389D02000000100108060001080006040002020000001001A9FE1301A81374BD389DA9FE6EB6000000000000000000000000000000000000,FCS:62e6fa8,Ports:Port5,Sim:0
12.900157,ETH,1,Rx,42:020000001001A81374BD389D080045000034082C400080061CE4A9FE6EB6A9FE1301FF2634587EA925B8000000008002FAF0C68A0000020405B40103030801010402,FCS:f1ac30b6,Ports:Port6,Sim:0
12.900362,ETH,1,Rx,42:A81374BD389D0200000010010800450000345787000040064D89A9FE1301A9FE6EB63458FF26000057F27EA925B9801240002A7F0000020405B40402030300010101,FCS:8680390e,Ports:Port5,Sim:0
12.900515,ETH,1,Rx,3c:020000001001A81374BD389D080045000028082D400080061CEFA9FE6EB6A9FE1301FF2634587EA925B9000057F3501020148A370000000000000000,FCS:de45fb6,Ports:Port6,Sim:0
13.468632,ETH,1,Rx,52:FFFFFFFFFFFF020000001001080045000044578A000040116620A9FE1301FFFFFFFF34583458003092C202FD0004000000204B4E4D3233303941523130305650323531100102000000100100000000000100,FCS:7483975,Ports:Port5,Sim:0
13.503034,ETH,1,Rx,45:020000001001A81374BD389D080045000037082E400080061CDFA9FE6EB6A9FE1301FF2634587EA925B9000057F3501820147897000002FD0005000000070E800000000000,FCS:a50628e5,Ports:Port6,Sim:0
13.503209,ETH,1,Rx,3c:A81374BD389D020000001001080045000028578B000040064D91A9FE1301A9FE6EB63458FF26000057F37EA925C850103FF16A4B0000000000000000,FCS:9bca57c7,Ports:Port5,Sim:0
13.533784,ETH,1,Rx,47:A81374BD389D020000001001080045000039578C000040064D7FA9FE1301A9FE6EB63458FF26000057F37EA925C8501840003896000002FD0006000000090E8010011000000000,FCS:66f57022,Ports:Port5,Sim:0
13.587526,ETH,1,Rx,3c:020000001001A81374BD389D080045000028082F400080061CEDA9FE6EB6A9FE1301FF2634587EA925C800005804501020148A170000000000000000,FCS:321ab09e,Ports:Port6,Sim:0
13.652698,ETH,1,Rx,44:020000001001A81374BD389D0800450000360830400080061CDEA9FE6EB6A9FE1301FF2634587EA925C8000058045018201499FD000002FD8001000000060E801FFF3E80,FCS:1faa3762,Ports:Port6,Sim:0
13.652882,ETH,1,Rx,3c:A81374BD389D020000001001080045000028578D000040064D8FA9FE1301A9FE6EB63458FF26000058047EA925D650103FF26A2B0000000000000000,FCS:77ae436c,Ports:Port5,Sim:0
13.655982,ETH,1,Rx,43:A81374BD389D020000001001080045000035578E000040064D81A9FE1301A9FE6EB63458FF26000058047EA925D650184000B884000002FD8002000000051FFF0E8000,FCS:c24e0039,Ports:Port5,Sim:0
13.699254,ETH,1,Rx,3c:020000001001A81374BD389D0800450000280831400080061CEBA9FE6EB6A9FE1301FF2634587EA925D6000058115010201489FC0000000000000000,FCS:3728af91,Ports:Port6,Sim:0
15.539579,ETH,1,Rx,44:020000001001A81374BD389D0800450000360832400080061CDCA9FE6EB6A9FE1301FF2634587EA925D6000058115018201499E2000002FD8001000000060E801FFF3E80,FCS:3f6dc548,Ports:Port6,Sim:0
15.539839,ETH,1,Rx,3c:A81374BD389D0200000010010800450000285796000040064D86A9FE1301A9FE6EB63458FF26000058117EA925E450103FF26A100000000000000000,FCS:3381ee8,Ports:Port5,Sim:0
15.542087,ETH,1,Rx,43:A81374BD389D0200000010010800450000355797000040064D78A9FE1301A9FE6EB63458FF26000058117EA925E450184000B869000002FD8002000000051FFF0E8000,FCS:e87af03c,Ports:Port5,Sim:0
15.597404,ETH,1,Rx,3c:020000001001A81374BD389D0800450000280833400080061CE9A9FE6EB6A9FE1301FF2634587EA925E40000581E5010201489E10000000000000000,FCS:304e8c17,Ports:Port6,Sim:0
17.53988,ETH,1,Rx,44:020000001001A81374BD389D0800450000360834400080061CDAA9FE6EB6A9FE1301FF2634587EA925E40000581E5018201499C7000002FD8001000000060E801FFF3E80,FCS:70ced578,Ports:Port6,Sim:0
17.540056,ETH,1,Rx,3c:A81374BD389D020000001001080045000028579F000040064D7DA9FE1301A9FE6EB63458FF260000581E7EA925F250103FF269F50000000000000000,FCS:1f87dca6,Ports:Port5,Sim:0
17.542118,ETH,1,Rx,43:A81374BD389D02000000100108004500003557A0000040064D6FA9FE1301A9FE6EB63458FF260000581E7EA925F250184000B84E000002FD8002000000051FFF0E8000,FCS:90380bdb,Ports:Port5,Sim:0
17.583738,ETH,1,Rx,3c:020000001001A81374BD389D0800450000280835400080061CE7A9FE6EB6A9FE1301FF2634587EA925F20000582B5010201489C60000000000000000,FCS:bc10fe4d,Ports:Port6,Sim:0
17.637528,ETH,1,Rx,3c:FFFFFFFFFFFFA81374BD389D080045000024B1EB000080117029A9FE6EB6FFFFFFFFF68334580010B93F02FD00010000000000000000000000000000,FCS:8fb31487,Ports:Port6,Sim:0
19.539867,ETH,1,Rx,44:020000001001A81374BD389D0800450000360836400080061CD8A9FE6EB6A9FE1301FF2634587EA925F20000582B5018201499AC000002FD8001000000060E801FFF3E80,FCS:87d214fc,Ports:Port6,Sim:0
19.540043,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857A8000040064D74A9FE1301A9FE6EB63458FF260000582B7EA9260050103FF269DA0000000000000000,FCS:9f2b7945,Ports:Port5,Sim:0
